City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Kapaa,US,2022-05-04 23:44:06,22.0752,-159.319,80.58,79,40,18.41
110,Fuengirola,ES,2022-05-04 23:44:07,36.54,-4.6247,58.84,97,0,5.75
111,Lavrentiya,RU,2022-05-04 23:44:07,65.5833,-171.0,28.78,77,31,6.15
112,Liepaja,LV,2022-05-04 23:44:08,56.5419,21.0367,40.98,45,0,4.61
113,Ellensburg,US,2022-05-04 23:44:09,46.9965,-120.5479,73.24,45,0,3.0
114,Tiksi,RU,2022-05-04 23:44:09,71.6872,128.8694,14.56,95,94,4.27
115,Hambantota,LK,2022-05-04 23:44:10,6.1241,81.1185,80.1,82,95,14.05
116,Semme,FR,2022-05-04 23:44:11,46.1963,1.5007,50.41,96,30,0.94
117,Vila Franca Do Campo,PT,2022-05-04 23:44:11,37.7167,-25.4333,63.01,79,99,7.27
118,Awbari,LY,2022-05-04 23:44:12,26.5921,12.7805,77.16,19,6,19.55
119,Valparaiso,CL,2022-05-04 23:44:13,-33.0393,-71.6273,57.47,88,100,5.75
120,Havre-Saint-Pierre,CA,2022-05-04 23:44:13,50.2334,-63.5986,39.56,93,100,5.75
121,Ixtapa,MX,2022-05-04 23:43:01,20.7,-105.2,84.22,47,55,6.62
122,Tucuman,AR,2022-05-04 23:44:14,-26.8241,-65.2226,62.6,55,0,6.91
123,Kayanga,TZ,2022-05-04 23:44:15,-1.5303,31.1511,57.18,95,87,2.75
124,Kirovskiy,RU,2022-05-04 23:44:15,45.0917,133.5136,57.97,49,62,10.98
125,Codrington,AU,2022-05-04 23:44:16,-38.2667,141.9667,50.99,72,99,4.68
126,Saint-Augustin,CA,2022-05-04 23:44:16,51.226,-58.6502,36.91,88,99,12.28
127,Flin Flon,CA,2022-05-04 23:44:17,54.7682,-101.865,33.64,86,100,4.61
128,Antequera,ES,2022-05-04 23:44:17,37.0194,-4.5612,52.93,90,42,1.7
129,Husavik,IS,2022-05-04 23:44:18,66.0449,-17.3389,31.57,92,98,3.71
130,Aguimes,ES,2022-05-04 23:44:18,27.9054,-15.4461,63.23,63,40,19.57
131,Sitka,US,2022-05-04 23:44:19,57.0531,-135.33,44.49,76,100,6.91
132,Torbay,CA,2022-05-04 23:44:19,47.6666,-52.7314,40.28,87,100,10.36
133,Raudeberg,NO,2022-05-04 23:44:20,61.9875,5.1352,45.95,88,100,22.1
134,Faanui,PF,2022-05-04 23:44:21,-16.4833,-151.75,81.37,77,79,11.01
135,Sorkjosen,NO,2022-05-04 23:44:21,69.8,20.9333,28.4,64,60,4.61
136,Ratne,UA,2022-05-04 23:44:22,51.6683,24.5303,37.81,62,58,7.18
137,Yellowknife,CA,2022-05-04 23:39:46,62.456,-114.3525,39.72,81,100,15.01
138,Lasa,IT,2022-05-04 23:44:23,46.6166,10.7002,49.08,92,86,1.66
139,Yamada,JP,2022-05-04 23:45:23,39.4667,141.95,59.2,56,6,7.18
140,Talaya,RU,2022-05-04 23:45:24,61.3833,152.75,29.21,79,50,1.66
141,San Quintin,MX,2022-05-04 23:45:24,30.4833,-115.95,64.04,66,0,10.92
142,Otane,NZ,2022-05-04 23:45:25,-39.8833,176.6333,60.01,68,15,6.69
143,Mandera,KE,2022-05-04 23:45:25,3.9366,41.867,79.3,70,62,12.44
144,Nieuw Amsterdam,SR,2022-05-04 23:45:26,5.8833,-55.0833,79.02,91,75,0.0
145,Nouadhibou,MR,2022-05-04 23:45:27,20.931,-17.0347,66.18,72,0,17.27
146,Butaritari,KI,2022-05-04 23:45:27,3.0707,172.7902,81.61,76,81,13.22
147,Kavieng,PG,2022-05-04 23:45:28,-2.5744,150.7967,84.6,73,87,13.38
148,Sao Filipe,CV,2022-05-04 23:45:28,14.8961,-24.4956,71.98,82,21,5.19
149,Gandajika,CD,2022-05-04 23:45:29,-6.75,23.95,67.3,88,35,3.69
150,Surt,LY,2022-05-04 23:45:30,31.2089,16.5887,67.48,52,1,16.58
151,Gunjur,GM,2022-05-04 23:45:30,13.2019,-16.7339,69.87,88,0,6.91
152,Bonavista,CA,2022-05-04 23:45:31,48.6499,-53.1147,36.01,90,81,12.21
153,Mahebourg,MU,2022-05-04 23:45:31,-20.4081,57.7,78.26,83,40,16.11
154,Amalapuram,IN,2022-05-04 23:45:32,16.5833,82.0167,79.68,94,95,3.31
155,Kenai,US,2022-05-04 23:45:32,60.5544,-151.2583,53.69,40,100,12.66
156,Zhigansk,RU,2022-05-04 23:45:33,66.7697,123.3711,20.44,88,47,10.09
157,Sisimiut,GL,2022-05-04 23:45:33,66.9395,-53.6735,16.81,83,78,4.9
158,Tupik,RU,2022-05-04 23:45:34,54.4253,119.9327,39.34,44,81,11.21
159,Ribeira Grande,PT,2022-05-04 23:45:34,38.5167,-28.7,62.76,86,100,17.22
160,Touros,BR,2022-05-04 23:45:35,-5.1989,-35.4608,76.98,92,99,11.74
161,Mar Del Plata,AR,2022-05-04 23:45:36,-38.0023,-57.5575,59.02,70,0,15.99
162,Trelew,AR,2022-05-04 23:44:05,-43.249,-65.3051,67.48,41,100,16.08
163,Santa Rosa,PH,2022-05-04 23:45:36,14.3122,121.1114,88.09,69,12,9.35
164,Luwuk,ID,2022-05-04 23:45:37,-0.9516,122.7875,83.62,73,99,2.91
165,Souillac,MU,2022-05-04 23:45:37,-20.5167,57.5167,77.38,83,40,16.11
166,Robertsport,LR,2022-05-04 23:45:38,6.7533,-11.3686,81.61,80,45,4.47
167,Aquiraz,BR,2022-05-04 23:45:38,-3.9014,-38.3911,82.18,86,100,7.87
168,Iskateley,RU,2022-05-04 23:45:39,67.6803,53.1512,3.22,96,32,5.59
169,Arraial Do Cabo,BR,2022-05-04 23:45:40,-22.9661,-42.0278,75.16,88,100,3.44
170,Amambai,BR,2022-05-04 23:45:40,-23.1042,-55.2258,57.69,84,91,5.46
171,Bluff,NZ,2022-05-04 23:45:41,-46.6,168.3333,58.1,71,54,6.46
172,Rio Gallegos,AR,2022-05-04 23:45:41,-51.6226,-69.2181,41.05,81,0,11.5
173,Flinders,AU,2022-05-04 23:45:42,-34.5833,150.8552,65.17,85,58,5.99
174,Wad Rawah,SD,2022-05-04 23:45:43,15.1603,33.1397,95.23,21,10,6.24
175,Carutapera,BR,2022-05-04 23:45:43,-1.195,-46.02,76.33,94,63,5.08
176,Storsteinnes,NO,2022-05-04 23:45:44,69.2408,19.2344,29.37,88,28,5.06
177,Waw,SS,2022-05-04 23:45:44,7.7029,27.9953,74.91,85,100,5.57
178,Angoche,MZ,2022-05-04 23:45:45,-16.2325,39.9086,71.38,87,1,7.74
179,Laguna,US,2022-05-04 23:45:45,38.421,-121.4238,91.94,20,0,3.44
180,Bay Roberts,CA,2022-05-04 23:44:20,47.5999,-53.2648,41.05,86,94,1.99
181,Katsuura,JP,2022-05-04 23:45:46,35.1333,140.3,67.33,73,100,12.17
182,Madang,PG,2022-05-04 23:45:47,-5.2246,145.7966,82.74,75,85,3.4
183,Akola,IN,2022-05-04 23:45:47,20.7333,77.0,86.76,22,0,8.95
184,Sola,VU,2022-05-04 23:45:48,-13.8833,167.55,81.66,73,92,4.92
185,Bubaque,GW,2022-05-04 23:45:48,11.2833,-15.8333,78.22,71,3,16.78
186,Pocoes,BR,2022-05-04 23:45:49,-14.5297,-40.3653,66.79,95,52,5.37
187,Khor,RU,2022-05-04 23:45:50,47.8861,134.9464,56.08,53,67,12.77
188,Kamina,CD,2022-05-04 23:46:50,-8.7386,24.9906,63.01,89,5,3.53
189,Soledad,CO,2022-05-04 23:46:51,10.9184,-74.7646,84.33,79,40,11.5
190,Hermanus,ZA,2022-05-04 23:42:38,-34.4187,19.2345,59.81,82,99,7.56
191,Ploiesti,RO,2022-05-04 23:46:51,44.95,26.0167,53.42,79,84,5.21
192,Aswan,EG,2022-05-04 23:46:52,24.0934,32.907,79.9,25,0,6.91
193,Obidos,BR,2022-05-04 23:46:52,-1.9175,-55.5181,74.71,94,68,1.81
194,Santa Isabel Do Rio Negro,BR,2022-05-04 23:46:53,-0.4139,-65.0192,73.54,98,99,2.91
195,Yulara,AU,2022-05-04 23:46:54,-25.2406,130.9889,55.24,58,64,14.97
196,Redding,US,2022-05-04 23:46:54,40.5865,-122.3917,89.65,20,0,9.22
197,La Ronge,CA,2022-05-04 23:46:55,55.1001,-105.2842,39.45,75,100,14.97
198,Weinan,CN,2022-05-04 23:46:55,34.5036,109.5089,71.24,42,3,2.17
199,Port Hedland,AU,2022-05-04 23:46:56,-20.3167,118.5667,75.25,38,40,16.11
200,Banjarmasin,ID,2022-05-04 23:46:56,-3.3244,114.591,75.34,92,99,2.19
201,Pitimbu,BR,2022-05-04 23:46:57,-7.4706,-34.8086,79.39,85,63,11.7
202,Inhambane,MZ,2022-05-04 23:46:57,-23.865,35.3833,68.43,85,73,5.32
203,Olafsvik,IS,2022-05-04 23:46:58,64.8945,-23.7142,36.21,60,96,4.63
204,Paita,PE,2022-05-04 23:46:58,-5.0892,-81.1144,68.74,79,75,14.29
205,Middletown,US,2022-05-04 23:44:47,39.5151,-84.3983,59.9,82,100,9.22
206,Byron Bay,AU,2022-05-04 23:43:50,-28.65,153.6167,75.94,76,26,9.89
207,Victoria,HK,2022-05-04 23:45:11,22.2855,114.1577,77.38,77,61,11.99
208,Saint-Pierre,RE,2022-05-04 23:47:00,-21.3393,55.4781,74.91,83,75,9.22
209,Hualmay,PE,2022-05-04 23:47:01,-11.0964,-77.6139,65.84,85,10,8.52
210,Mayumba,GA,2022-05-04 23:47:01,-3.432,10.6554,76.95,91,100,5.41
211,Hwange,ZW,2022-05-04 23:47:02,-18.3693,26.5019,61.86,58,17,2.75
212,Mahon,ES,2022-05-04 23:47:03,39.8885,4.2658,61.36,72,0,19.57
213,Sambava,MG,2022-05-04 23:47:03,-14.2667,50.1667,75.11,81,54,13.56
214,Lorengau,PG,2022-05-04 23:47:04,-2.0226,147.2712,84.87,73,86,6.64
215,Ornskoldsvik,SE,2022-05-04 23:47:04,63.2909,18.7153,34.75,93,100,3.44
216,Balabac,PH,2022-05-04 23:47:05,7.9868,117.0645,83.46,76,100,7.74
217,Kiblawan,PH,2022-05-04 23:47:05,6.6142,125.2367,80.87,83,88,3.04
218,Kidal,ML,2022-05-04 23:47:06,18.4411,1.4078,88.02,8,90,10.69
219,Atraulia,IN,2022-05-04 23:47:07,26.3333,82.95,82.33,58,3,6.2
220,Janesville,US,2022-05-04 23:45:11,42.6828,-89.0187,57.88,54,40,8.05
221,Christchurch,NZ,2022-05-04 23:44:35,-43.5333,172.6333,63.95,81,75,3.44
222,Elizabeth City,US,2022-05-04 23:42:28,36.2946,-76.2511,73.42,90,100,11.5
223,Key West,US,2022-05-04 23:43:01,24.5557,-81.7826,86.0,70,0,8.05
224,Perivolion,GR,2022-05-04 23:47:08,39.4206,20.0147,59.65,77,31,2.91
225,Georgetown,MY,2022-05-04 23:44:21,5.4112,100.3354,80.53,99,20,4.61
226,Chapais,CA,2022-05-04 23:47:09,49.7834,-74.8492,31.78,71,93,8.75
227,Raga,SS,2022-05-04 23:47:09,8.4596,25.678,75.02,79,92,7.29
228,Mao,ES,2022-05-04 23:47:10,39.8885,4.2658,61.36,72,0,19.57
229,Dayal Bagh,IN,2022-05-04 23:47:11,27.2167,78.0167,84.34,39,4,3.47
230,Asilah,MA,2022-05-04 23:47:11,35.465,-6.0348,58.96,82,14,3.38
231,Kaitangata,NZ,2022-05-04 23:47:12,-46.2817,169.8464,61.38,57,8,2.51
232,Carnarvon,AU,2022-05-04 23:47:12,-24.8667,113.6333,68.07,45,40,12.66
233,Camacupa,AO,2022-05-04 23:47:13,-12.0167,17.4833,61.48,64,48,4.47
234,Zharkent,KZ,2022-05-04 23:48:14,44.1628,80.0,63.77,72,100,11.07
235,Vao,NC,2022-05-04 23:48:14,-22.6667,167.4833,74.98,79,77,16.53
236,Severo-Kurilsk,RU,2022-05-04 23:47:03,50.6789,156.125,35.33,85,99,5.99
237,Gigant,RU,2022-05-04 23:48:15,46.5066,41.3419,53.6,92,100,4.83
238,Tautira,PF,2022-05-04 23:48:15,-17.7333,-149.15,81.43,77,65,13.85
239,Jutai,BR,2022-05-04 23:48:16,-5.1833,-68.9,74.28,97,100,3.58
240,Kieta,PG,2022-05-04 23:48:16,-6.2167,155.6333,85.32,69,70,4.34
241,Kemin,KG,2022-05-04 23:48:17,42.7846,75.6892,55.36,90,100,0.63
242,Santa Rosalia,MX,2022-05-04 23:48:17,27.3167,-112.2833,75.52,49,1,3.98
243,Ambilobe,MG,2022-05-04 23:48:18,-13.2,49.05,69.31,87,18,3.49
244,Dudinka,RU,2022-05-04 23:48:19,69.4058,86.1778,34.63,98,100,24.36
245,Nanortalik,GL,2022-05-04 23:48:19,60.1432,-45.2371,31.41,83,40,4.7
246,Necochea,AR,2022-05-04 23:48:20,-38.5473,-58.7368,56.34,66,48,12.12
247,Yar-Sale,RU,2022-05-04 23:48:20,66.8333,70.8333,24.49,83,48,15.08
248,Avarua,CK,2022-05-04 23:47:04,-21.2078,-159.775,84.25,65,65,10.36
249,Baruun-Urt,MN,2022-05-04 23:48:21,46.6806,113.2792,48.34,47,100,15.19
250,Tevaitoa,PF,2022-05-04 23:48:21,-16.7833,-151.5,81.03,78,69,13.09
251,Tilichiki,RU,2022-05-04 23:48:22,60.4667,166.1,31.05,86,81,7.47
252,Thinadhoo,MV,2022-05-04 23:48:22,0.5333,72.9333,82.96,76,100,20.58
253,Makakilo City,US,2022-05-04 23:48:23,21.3469,-158.0858,82.72,60,100,20.71
254,Atasu,KZ,2022-05-04 23:48:24,48.6814,71.6433,41.92,73,36,3.04
255,Balikpapan,ID,2022-05-04 23:46:43,-1.2675,116.8289,77.99,100,20,2.3
256,Takab,IR,2022-05-04 23:48:24,36.4009,47.1133,51.08,58,7,6.11
257,Sorong,ID,2022-05-04 23:48:25,-0.8833,131.25,82.4,77,85,3.94
258,Naze,JP,2022-05-04 23:48:25,28.3667,129.4833,68.92,89,100,11.79
259,Cidreira,BR,2022-05-04 23:48:26,-30.1811,-50.2056,65.97,80,66,13.8
260,Hamilton,US,2022-05-04 23:45:28,39.1834,-84.5333,59.99,79,100,5.75
261,Kamaishi,JP,2022-05-04 23:48:31,39.2667,141.8833,59.11,58,21,5.41
262,Charters Towers,AU,2022-05-04 23:44:50,-20.1,146.2667,77.92,63,22,4.85
263,Harrisonburg,US,2022-05-04 23:47:12,38.4496,-78.8689,73.78,49,0,6.91
264,Dikson,RU,2022-05-04 23:48:32,73.5069,80.5464,20.01,93,100,21.21
265,Karratha,AU,2022-05-04 23:48:32,-20.7377,116.8463,75.99,38,0,24.65
266,Saint George,US,2022-05-04 23:48:33,37.1041,-113.5841,78.44,20,0,14.97
267,Port-Cartier,CA,2022-05-04 23:48:33,50.0334,-66.8654,39.74,86,64,7.87
268,Sao Joao Da Barra,BR,2022-05-04 23:48:34,-21.6403,-41.0511,78.06,85,41,17.63
269,Rosetown,CA,2022-05-04 23:48:35,51.5501,-108.0014,73.38,17,100,16.11
270,Caramanta,CO,2022-05-04 23:48:35,5.5478,-75.6437,59.14,94,88,1.72
271,Verkhoturye,RU,2022-05-04 23:48:36,58.8627,60.8054,40.17,89,99,2.13
272,Henties Bay,NA,2022-05-04 23:48:36,-22.116,14.2845,71.87,45,0,7.56
273,Nemuro,JP,2022-05-04 23:48:37,43.3236,145.575,38.1,79,8,4.76
274,Mercedes,AR,2022-05-04 23:48:37,-34.6515,-59.4307,54.03,71,25,8.1
275,Arlit,NE,2022-05-04 23:48:38,18.7369,7.3853,87.76,8,68,9.91
276,Port Lincoln,AU,2022-05-04 23:45:13,-34.7333,135.8667,56.97,55,80,20.24
277,Acapulco,MX,2022-05-04 23:45:34,16.8634,-99.8901,84.02,70,75,10.36
278,Koumac,NC,2022-05-04 23:48:39,-20.5667,164.2833,80.64,72,8,4.16
279,Sumalig,PH,2022-05-04 23:48:39,7.9986,123.6627,82.63,80,93,0.31
280,Xudat,AZ,2022-05-04 23:48:40,41.631,48.681,51.08,79,25,3.36
281,Grindavik,IS,2022-05-04 23:45:22,63.8424,-22.4338,37.35,64,75,2.3
282,Faya,SA,2022-05-04 23:49:40,18.3851,42.4509,64.51,60,13,2.04
283,Ca Mau,VN,2022-05-04 23:48:52,9.1769,105.15,80.38,83,92,7.72
284,Airai,TL,2022-05-04 23:49:41,-8.9266,125.4092,69.03,64,83,3.42
285,Great Yarmouth,GB,2022-05-04 23:49:42,52.6083,1.7305,53.85,96,68,8.25
286,Abhar,IR,2022-05-04 23:49:42,36.1468,49.218,56.08,66,23,6.78
287,Kayseri,TR,2022-05-04 23:49:43,38.737,35.4968,48.22,93,75,12.66
288,Renton,US,2022-05-04 23:45:15,47.4829,-122.2171,70.52,51,0,8.05
289,Charlottetown,CA,2022-05-04 23:49:29,46.2352,-63.1267,50.29,85,100,11.5
290,Los Llanos De Aridane,ES,2022-05-04 23:49:44,28.6585,-17.9182,62.35,74,40,13.8
291,Pisco,PE,2022-05-04 23:49:44,-13.7,-76.2167,66.25,77,0,17.27
292,Russell,US,2022-05-04 23:49:45,32.3502,-85.1999,83.8,72,0,0.0
293,Agadez,NE,2022-05-04 23:49:45,19.75,10.25,87.48,13,84,7.56
294,Tynda,RU,2022-05-04 23:49:46,55.1667,124.7167,37.29,66,40,3.04
295,Sarangani,PH,2022-05-04 23:49:46,5.4033,125.4636,83.08,77,97,15.26
