City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Cordoba,AR,76.05,broken clouds,-31.4135,-64.1811,Hotel Sussex
344,Alim,PH,81.3,broken clouds,9.5649,122.4876,Calamai Tropica
347,Dawlatabad,AF,81.82,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
348,Taltal,CL,64.45,clear sky,-25.4,-70.4833,Residencial Karime
350,Camacha,PT,62.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
352,Menongue,AO,69.33,broken clouds,-14.6585,17.691,Ritz Lauca
353,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
355,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
358,Antofagasta,CL,65.48,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
362,Vanimo,PG,78.94,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
363,Kirakira,SB,80.04,overcast clouds,-10.4544,161.9205,SanBiz Lodge
365,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
366,Sawakin,SD,81.93,clear sky,19.1059,37.3321,فندق الدويم
367,Tucumcari,US,86.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
368,Mandera,KE,87.64,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
369,Mormugao,IN,85.26,broken clouds,15.4,73.8,Coconut Creek Resort
370,Gazanjyk,TM,66.76,light rain,39.2446,55.5154,Railway motel
371,Paysandu,UY,72.88,broken clouds,-32.3214,-58.0756,Gran Hotel Paysandú
372,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
374,Wilmington Island,US,69.98,overcast clouds,32.0036,-80.9737,Breezeway Studio Manor LLC
377,Yeppoon,AU,67.78,light rain,-23.1333,150.7333,Villa Mar Colina
379,Schijndel,NL,66.29,clear sky,51.6225,5.4319,Weibos Bed & Breakfast
381,Kahului,US,76.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
383,Broome,US,64.71,clear sky,42.2506,-75.833,Chenango Valley State Park
387,Ambulu,ID,76.66,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
389,Gympie,AU,63.18,light rain,-26.1898,152.665,Mary River Motor Inn
392,Sechura,PE,78.51,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
394,Sambava,MG,76.77,broken clouds,-14.2667,50.1667,Melrose
397,Nouadhibou,MR,69.78,few clouds,20.931,-17.0347,El Medina
398,Luanda,AO,78.08,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
400,Hobyo,SO,83.35,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
401,Liuzhou,CN,71.96,overcast clouds,24.3126,109.3892,Linjiang Inn
403,Lao Cai,VN,75.16,broken clouds,22.4833,103.95,Legend Hotel
406,Santa Cruz De La Palma,ES,69.94,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
407,Iacu,BR,85.73,broken clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
408,Sao Jose Da Coroa Grande,BR,80.46,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
409,Guerrero Negro,MX,66.27,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
410,Canico,PT,69.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
414,Akyab,MM,82.24,light rain,20.15,92.9,Hotel Memory
416,Gold Coast,AU,68.04,moderate rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
418,Cortland,US,62.98,clear sky,42.6001,-76.083,Cortland Motel
419,Teo,ES,81.03,few clouds,42.75,-8.5,Casa Rural Paz
420,Cao Bang,VN,72.75,overcast clouds,22.6667,106.25,khách sạn 88
422,Quelimane,MZ,75.15,broken clouds,-17.8786,36.8883,Hotel Flamingo
425,Kendal,GB,63.59,scattered clouds,54.3268,-2.7476,Castle Green Hotel - managed by Legacy Hotels and Resorts
427,Saint-Malo,FR,67.66,scattered clouds,48.5,-1.8333,Saint Malo Golf
433,Ha Noi,VN,77.0,overcast clouds,21.0245,105.8412,Hotel du Parc Hanoi
434,Hervey Bay,AU,70.72,light rain,-25.2986,152.8535,Shelly Bay Resort
435,Trebinje,BA,64.76,clear sky,42.7119,18.3442,Hotel Aćimović
436,Florianopolis,BR,74.43,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
