City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Carnarvon,AU,-24.8667,113.6333,62.67,88,0,5.75,clear sky
152,Gimli,CA,50.6336,-96.9907,51.82,82,93,9.22,overcast clouds
153,Togur,RU,58.3631,82.8265,33.4,52,12,4.07,few clouds
154,Saskylakh,RU,71.9167,114.0833,8.71,94,75,12.55,broken clouds
155,San Felipe,VE,10.3399,-68.7425,86.63,54,82,2.73,broken clouds
156,Mitsamiouli,KM,-11.3847,43.2844,79.09,89,20,4.61,light rain
157,Bourbonnais,US,41.1417,-87.875,66.06,57,0,9.22,clear sky
158,Salalah,OM,17.0151,54.0924,80.87,74,7,3.06,clear sky
159,Husavik,IS,66.0449,-17.3389,43.81,86,100,4.03,light rain
160,Kandrian,PG,-6.2167,149.55,78.42,91,100,6.26,overcast clouds
161,Eyl,SO,7.9803,49.8164,84.29,77,57,15.55,broken clouds
162,Trincomalee,LK,8.5711,81.2335,83.97,79,100,18.21,light rain
163,Rochester,US,43.1548,-77.6156,64.56,41,0,16.11,clear sky
164,Dondo,MZ,-19.6094,34.7431,72.91,85,3,5.82,clear sky
165,Chirongui,YT,-12.9319,45.1483,82.33,76,20,4.85,few clouds
166,Tautira,PF,-17.7333,-149.15,80.44,80,12,9.53,light rain
167,Mangan,IN,27.5167,88.5333,71.01,82,74,0.76,broken clouds
168,Lompoc,US,34.6391,-120.4579,70.57,62,0,27.63,clear sky
169,Alice Springs,AU,-23.7,133.8833,42.35,56,100,3.44,overcast clouds
170,Castro,BR,-24.7911,-50.0119,67.84,55,14,4.83,few clouds
171,Garowe,SO,8.4054,48.4845,88.84,41,100,6.06,overcast clouds
172,Quatre Cocos,MU,-20.2078,57.7625,75.31,85,28,9.53,scattered clouds
173,Ugoofaaru,MV,5.6667,73.0,84.38,79,96,16.37,overcast clouds
174,Caravelas,BR,-17.7125,-39.2481,75.25,85,100,9.08,overcast clouds
175,Fortuna,US,40.5982,-124.1573,51.93,78,75,9.22,broken clouds
176,Nizhnevartovsk,RU,60.9344,76.5531,39.22,56,0,4.47,clear sky
177,Clyde River,CA,70.4692,-68.5914,25.03,86,100,13.8,overcast clouds
178,Pangody,RU,65.85,74.4859,34.03,99,100,12.73,overcast clouds
179,Cabra,ES,37.4725,-4.4421,76.39,33,93,2.53,overcast clouds
180,Flinders,AU,-34.5833,150.8552,58.17,86,47,5.01,light rain
181,Tamale,GH,9.4008,-0.8393,95.85,35,68,1.95,broken clouds
182,Kyabe,TD,9.4515,18.9449,95.25,24,65,4.63,broken clouds
183,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,69,54,14.25,broken clouds
184,Lavrentiya,RU,65.5833,-171.0,30.38,95,100,5.1,light snow
185,Tasiilaq,GL,65.6145,-37.6368,36.23,69,100,6.31,overcast clouds
186,Lucapa,AO,-8.4192,20.7447,74.37,60,98,4.12,overcast clouds
187,Binzhou,CN,37.3667,118.0167,44.33,88,89,3.94,overcast clouds
188,Bubaque,GW,11.2833,-15.8333,77.41,70,20,10.38,few clouds
189,Sivas,TR,39.7916,37.0019,44.62,76,100,5.19,overcast clouds
190,Chuy,UY,-33.6971,-53.4616,68.76,54,19,8.08,few clouds
191,Hay River,CA,60.8156,-115.7999,33.78,93,100,14.97,light rain
192,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,32,0,12.66,clear sky
193,Beyneu,KZ,45.3167,55.2,65.28,58,68,14.58,light rain
194,Dolores,AR,-36.3132,-57.6792,73.69,51,1,14.23,clear sky
195,Deputatskiy,RU,69.3,139.9,12.06,99,100,3.62,overcast clouds
196,Lebedinyy,RU,58.5167,125.5167,32.45,99,100,3.4,snow
197,Coquimbo,CL,-29.9533,-71.3436,62.33,67,100,6.91,overcast clouds
198,Pocri,PA,8.2667,-80.55,90.23,56,26,7.76,scattered clouds
199,Koforidua,GH,6.0941,-0.2591,79.48,84,98,6.46,light rain
200,Chokurdakh,RU,70.6333,147.9167,8.6,89,98,6.53,overcast clouds
201,Tanete,ID,-3.9443,119.7848,75.22,96,99,3.71,overcast clouds
